Siniestro,DENUNCIA,Pieza,Tarea,Horas,pieza_normalizada
3009/2020,M305456,cierre de espolon,Sustituir,0.25,Otro
3009/2020,M305456,carcaza filtro aire completa,Sustituir,0.25,Otro
3009/2020,M305456,soporte electro,Reparar,2.00,Otro
3009/2020,M305456,volante,Sustituir,0.40,Otro
3009/2020,M305456,travesaY=o entrechasis,Reparar,4.00,Otro
3009/2020,M305456,encausador aire sup der,Sustituir,0.20,Otro
3009/2020,M305456,radiador de agua,Sustituir,0.80,Otro
3009/2020,M305456,refrigerante,Sustituir,0.00,Otro
3009/2020,M305456,alineacion tren del,Sustituir,0.00,Otro
3009/2020,M305456,pasarrueda delantero izq,Reparar,3.00,Otro
3009/2020,M305456,pasarrueda delantero der,Reparar,2.00,Otro
3009/2020,M305456,medio chasis del izq,Reparar,4.00,Otro
3009/2020,M305456,medio chasis del der,Reparar,2.00,Otro
3009/2020,M305456,vanos motor,SYC,1.50,Otro
3009/2020,M305456,puerta delantera des parcial izq,Reparar,4.00,Puerta Delantera Izquierda
3009/2020,M305456,puerta delantera des parcial der,Reparar,4.00,Puerta Delantera Derecha
3079/2020,M275046,airbag izq,Sustituir,1.00,Otro
3079/2020,M275046,airbag der,Sustituir,1.00,Otro
3079/2020,M275046,modulo disparador airbags,Sustituir,1.00,Otro
3079/2020,M275046,capot,Sustituir,1.00,Capot
3079/2020,M275046,bisagras capot izq y der,Sustituir,0.25,Otro
3079/2020,M275046,careta,Sustituir,0.50,Otro
3079/2020,M275046,parabrisas,Sustituir,2.00,Otro
3079/2020,M275046,insignia emblema careta,Sustituir,0.10,Otro
3079/2020,M275046,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
3079/2020,M275046,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
3079/2020,M275046,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3079/2020,M275046,rejilla centde parag superior,Sustituir,0.10,Otro
3079/2020,M275046,rejilla centde parag inf con superior,SYC,0.10,Otro
3079/2020,M275046,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
3079/2020,M275046,guia de paragolpes del izq,Sustituir,0.20,Otro
3079/2020,M275046,frente superior atornillado,Sustituir,2.00,Otro
3079/2020,M275046,radiador de agua,SYC,0.80,Otro
3079/2020,M275046,condensador de aa,SYC,1.00,Otro
3079/2020,M275046,carga de gas,Sustituir,0.00,Otro
3079/2020,M275046,refrigerante,Sustituir,0.00,Otro
3079/2020,M275046,pasarrueda delantero izq,Reparar,1.50,Otro
3079/2020,M275046,puerta delantera des parcial izq,Reparar,2.00,Puerta Delantera Izquierda
3079/2020,M275046,fletes,Sustituir,0.00,Otro
3079/2020,M275046,reseteo sistema,Sustituir,0.00,Otro
3087/2020,M307967,insignia emblema toro,Sustituir,0.10,Otro
3087/2020,M307967,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
3087/2020,M307967,porton trasero izq,Reparar,5.00,Tapa de Baul
3087/2020,M307967,pisadera trasera cromada,Sustituir,0.50,Otro
3087/2020,M307967,ojo de gato trasero de parag izq,Sustituir,0.25,Otro
3087/2020,M307967,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
3087/2020,M307967,lateral caja parcial izq,Reparar,0.00,Lateral de Caja Izquierdo
3097/2020,M275053,lateral caja der,Reparar,6.00,Lateral de Caja Derecho
3097/2020,M275053,montante tras der,Reparar,3.00,Otro
3097/2020,M275053,puertas des parcial tras der,Reparar,5.00,Puerta Trasera Derecha
3097/2020,M275053,puerta delantera des parcial der,Reparar,5.00,Puerta Delantera Derecha
3097/2020,M275053,guardabarro delantero der,Reparar,3.00,Guardabarro Delantero Derecho
3097/2020,M275053,manija puerta tras completa der,Sustituir,0.00,Otro
3097/2020,M275053,manija puerta del completa der,Sustituir,0.00,Otro
3097/2020,M275053,zocalo der,Reparar,3.00,Zocalo Derecho
3097/2020,M275053,asiento delantero der,SYC,0.60,Otro
3097/2020,M275053,asiento trasero,SYC,0.80,Otro
3097/2020,M275053,tapizado der,SYC,0.20,Otro
3097/2020,M275053,paragolpe del con accesorios,Reparar,2.50,Paragolpe Delantero
3097/2020,M275053,fletes,Sustituir,0.00,Otro
3101/2020,M306341,capot,Sustituir,1.00,Capot
3101/2020,M306341,careta,Sustituir,0.50,Otro
3101/2020,M306341,insignia emblema de careta,Sustituir,0.10,Otro
3101/2020,M306341,frente superior atornillado,Reparar,4.50,Otro
3101/2020,M306341,bisagras capot x2,Sustituir,0.25,Otro
3101/2020,M306341,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
3101/2020,M306341,faroles delantero der,SYC,0.50,Farol Delantero Derecho
3101/2020,M306341,paragolpe del con accesorios,Reparar,1.50,Paragolpe Delantero
3101/2020,M306341,vanos motor,SYC,1.00,Otro
3112/2020,M303109,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
3112/2020,M303109,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
3112/2020,M303109,guia de paragolpes tras der,Sustituir,0.20,Otro
3112/2020,M303109,tapa baul hatch,Reparar,1.50,Tapa de Baul
3112/2020,M303109,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
3112/2020,M303109,aloj faro tras izq,Reparar,1.50,Otro
3112/2020,M303109,panel trasero cola,Reparar,2.00,Panel Trasero
3112/2020,M303109,piso de baul,Reparar,1.50,Otro
3112/2020,M303109,tapizado baul compl,SYC,0.60,Otro
3112/2020,M303109,fletes,Sustituir,0.00,Otro
3112/2020,M303109,soporte de paragolpe tras chapa der,Sustituir,0.25,Otro
3112/2020,M303109,guia de paragolpes tras izq,Sustituir,0.20,Otro
3112/2020,M303109,fletes,Sustituir,0.00,Otro
3129/2020,M306839,guia de paragolpes del izq,Sustituir,0.20,Otro
3129/2020,M306839,paragolpe del con accesorios,Reparar,3.00,Paragolpe Delantero
3129/2020,M306839,guardabarro delantero izq,Reparar,3.00,Guardabarro Delantero Izquierdo
3129/2020,M306839,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
3129/2020,M306839,bucheglass del izq,SYC,0.30,Otro
3129/2020,M306839,soporte de paragolpe del izq,Reparar,1.00,Otro
3129/2020,M306839,careta,SYC,0.50,Otro
3137/2020,M306173,guardabarro trasero soldado izq,Sustituir,8.00,Guardabarro Trasero Izquierdo
3137/2020,M306173,bucheglass tras izq,Sustituir,0.30,Otro
3137/2020,M306173,guia de paragolpes tras izq,Sustituir,0.20,Otro
3137/2020,M306173,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
3137/2020,M306173,paragolpe trasero,Reparar,3.00,Paragolpe Trasero
3137/2020,M306173,caY=o de llenado de comb,SYC,0.25,Otro
3137/2020,M306173,tapa ext deposito comb,SYC,0.20,Otro
3137/2020,M306173,tapizado baul compl,SYC,0.60,Otro
3137/2020,M306173,pasarrueda trasero izq,Reparar,2.00,Otro
3172/2020,M306311,aloj faro del (derizq) der,Sustituir,2.00,Otro
3172/2020,M306311,frente superior soldado,Sustituir,4.00,Otro
3172/2020,M306311,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
3172/2020,M306311,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
3172/2020,M306311,bucheglass del der,Sustituir,0.30,Otro
3172/2020,M306311,caja de cambio,SYC,3.00,Otro
3172/2020,M306311,cardan,SYC,1.00,Otro
3172/2020,M306311,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
3172/2020,M306311,capot,Sustituir,1.00,Capot
3172/2020,M306311,bisagras capot x2,Reparar,1.00,Otro
3172/2020,M306311,caminero np der,Sustituir,0.00,Otro
3172/2020,M306311,rejilla der de parag np,SYC,0.00,Otro
3172/2020,M306311,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3172/2020,M306311,medio chasis del der,Reparar,3.00,Otro
3172/2020,M306311,pasarrueda delantero der,Reparar,5.00,Otro
3172/2020,M306311,condensador de aa,SYC,1.00,Otro
3172/2020,M306311,radiador de agua,SYC,0.80,Otro
3172/2020,M306311,carga de gas,Sustituir,0.00,Otro
3172/2020,M306311,refrigerante,Sustituir,0.00,Otro
3172/2020,M306311,parrilla de susp del crotula der,Sustituir,1.00,Otro
3172/2020,M306311,amortiguador del der,Sustituir,1.00,Otro
3172/2020,M306311,barra direccion mate der,Sustituir,0.25,Otro
3172/2020,M306311,barra tensora suspension der,Sustituir,0.50,Otro
3172/2020,M306311,alineacion tren del,Sustituir,0.00,Otro
3172/2020,M306311,balancear,Sustituir,0.00,Otro
3172/2020,M306311,puerta delantera des parcial der,Reparar,1.00,Puerta Delantera Derecha
3172/2020,M306311,control de embrague,Sustituir,0.00,Otro
3189/2020,M306328,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3189/2020,M306328,radiador de agua,Sustituir,0.80,Otro
3189/2020,M306328,condensador de aa,Sustituir,1.00,Otro
3189/2020,M306328,airbag izq,Sustituir,1.00,Otro
3189/2020,M306328,airbag der,Sustituir,1.00,Otro
3189/2020,M306328,cinto seguridad del izq,Sustituir,0.50,Otro
3189/2020,M306328,cinto seguridad del der,Sustituir,0.50,Otro
3189/2020,M306328,carcaza filtro aire,Sustituir,0.25,Otro
3189/2020,M306328,frente soldado completo,Sustituir,6.00,Otro
3189/2020,M306328,frente inf,Sustituir,2.00,Otro
3189/2020,M306328,careta,Sustituir,0.50,Otro
3189/2020,M306328,rejilla centde parag,Sustituir,0.10,Otro
3189/2020,M306328,insignia emblema de careta,Sustituir,0.10,Otro
3189/2020,M306328,"rejilla izq, de parag",Sustituir,0.10,Otro
3189/2020,M306328,rejilla der de parag,Sustituir,0.10,Otro
3189/2020,M306328,caminero der,Sustituir,0.00,Otro
3189/2020,M306328,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
3189/2020,M306328,bisagras capot x2,Sustituir,0.25,Otro
3189/2020,M306328,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
3189/2020,M306328,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
3189/2020,M306328,cierre de espolon inf,Sustituir,0.25,Otro
3189/2020,M306328,soporte parag entrechasis,Sustituir,0.50,Otro
3189/2020,M306328,rejilla torpedo,Sustituir,0.50,Otro
3189/2020,M306328,capot,Sustituir,1.00,Capot
3189/2020,M306328,electroventilador completo,Sustituir,0.60,Otro
3189/2020,M306328,correa accesorios,Sustituir,0.25,Otro
3189/2020,M306328,difusor de calor multiple,Sustituir,0.00,Otro
3189/2020,M306328,parrilla de susp del der,Sustituir,1.00,Otro
3189/2020,M306328,rotulas der cparrilla,SYC,0.20,Otro
3189/2020,M306328,semieje delantero der,Sustituir,0.50,Otro
3189/2020,M306328,homocinetica c emi eje,SYC,0.50,Otro
3189/2020,M306328,triceta c emi eje,SYC,0.50,Otro
3189/2020,M306328,sonda lambda,Sustituir,0.15,Otro
3189/2020,M306328,pata de motor sup,Sustituir,0.25,Otro
3189/2020,M306328,bomba direccion,Sustituir,0.50,Otro
3189/2020,M306328,soporte bomba direccion,Sustituir,0.50,Otro
3189/2020,M306328,carcaza filtro aire,Sustituir,0.25,Otro
3189/2020,M306328,ducto entrada faire,Sustituir,0.15,Otro
3189/2020,M306328,deposito de agua rad,Sustituir,0.25,Otro
3189/2020,M306328,llanta x2 de chapa,Sustituir,0.50,Otro
3189/2020,M306328,cubierta 1756514 x2,Sustituir,0.10,Otro
3189/2020,M306328,tasa x2,Sustituir,0.00,Otro
3189/2020,M306328,bucheglass del der,Sustituir,0.30,Otro
3189/2020,M306328,continuacion buche glass der,Sustituir,0.20,Otro
3189/2020,M306328,bucheglass izq,Sustituir,0.30,Otro
3189/2020,M306328,alma de paragolpe del,Sustituir,0.50,Otro
3189/2020,M306328,multiple admision plastico,Sustituir,0.50,Otro
3189/2020,M306328,tapa dist completa,Sustituir,0.50,Otro
3189/2020,M306328,soportes radiadores abrasaderas,Sustituir,0.15,Otro
3189/2020,M306328,caja disparadora,Sustituir,0.50,Otro
3189/2020,M306328,espejo retrovisor ext tapa izq,Sustituir,0.40,Otro
3189/2020,M306328,puerta delantera des parcial der,Reparar,6.50,Puerta Delantera Derecha
3189/2020,M306328,pasarrueda delantero der,Reparar,4.00,Otro
3189/2020,M306328,sacarcolocar motor,SYC,8.00,Otro
3189/2020,M306328,guardabarro delantero izq,Reparar,3.50,Guardabarro Delantero Izquierdo
3189/2020,M306328,medio chasis del izq,Reparar,6.00,Otro
3189/2020,M306328,vanos motor,SYC,1.00,Otro
3189/2020,M306328,medio chasis del der,Reparar,12.00,Otro
3189/2020,M306328,reseteo sistema,Sustituir,0.00,Otro
3189/2020,M306328,tablero completo,Sustituir,6.00,Otro
3189/2020,M306328,zocalo der,Reparar,3.00,Zocalo Derecho
3189/2020,M306328,aloj faro del (derizq) der,Reparar,5.00,Otro
3189/2020,M306328,pasarrueda delantero izq,Reparar,2.00,Otro
3189/2020,M306328,aloj faro del (derizq) izq,Reparar,2.00,Otro
3189/2020,M306328,alineacion tren del,Sustituir,0.00,Otro
3189/2020,M306328,balancear,Sustituir,0.00,Otro
3235/2020,M305457,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3235/2020,M305457,guia de paragolpes delx2,Sustituir,0.20,Otro
3235/2020,M305457,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
3235/2020,M305457,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
3235/2020,M305457,guardabarro delantero parcial izq,Reparar,0.00,Guardabarro Delantero Izquierdo
3478/2020,M302960,farol trasero der,SYC,0.25,Farol Trasero Derecho
3478/2020,M302960,alma paragolpe tras,Reparar,2.00,Otro
3478/2020,M302960,panel trasero,Reparar,6.00,Panel Trasero
3478/2020,M302960,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
3478/2020,M302960,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
3478/2020,M302960,guia de paragolpes der,Sustituir,0.20,Otro
3478/2020,M302960,guia de paragolpes izq,Sustituir,0.20,Otro
3478/2020,M302960,guardabarro trasero soldado der,Reparar,1.00,Guardabarro Trasero Derecho
3478/2020,M302960,guardabarro trasero soldado izq,Reparar,1.00,Guardabarro Trasero Izquierdo
3478/2020,M302960,bagueta pgpe tras der,Reparar,0.00,Otro
3478/2020,M302960,bagueta pgpe tras izq,Reparar,0.00,Otro
3494/2020,M306369,puerta delan desarme completo izq,Sustituir,4.00,Puerta Delantera Izquierda
3494/2020,M306369,calco de marco pta del izq,Sustituir,0.00,Otro
3494/2020,M306369,guardabarro soldado delantero izq,Sustituir,3.00,Guardabarro Delantero Izquierdo
3494/2020,M306369,bisagras puertas del izq,Reparar,2.00,Otro
3494/2020,M306369,montante delan izq,Reparar,1.50,Otro
3494/2020,M306369,montante de parabrisas izq,Reparar,0.00,Otro
3494/2020,M306369,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
3494/2020,M306369,faroles delantero der,SYC,0.50,Farol Delantero Derecho
3494/2020,M306369,bucheglass del izq,SYC,0.30,Otro
3494/2020,M306369,paragolpe del con accesorios,SYC,2.00,Paragolpe Delantero
3596/2020,M306886,espejo retrovisor ext izq,Sustituir,0.40,Otro
3596/2020,M306886,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
3596/2020,M306886,paragolpe del con accesorios parcial,Reparar,1.00,Paragolpe Delantero
3596/2020,M306886,puerta delantera des parcial izq,Reparar,5.00,Puerta Delantera Izquierda
3596/2020,M306886,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
3596/2020,M306886,bucheglass del izq,SYC,0.30,Otro
3596/2020,M306886,moldura puerta del izq,Reparar,0.00,Otro
3596/2020,M306886,llanta aleacion,Reparar,1.00,Otro
3616/2020,M303040,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
3616/2020,M303040,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3616/2020,M303040,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
3616/2020,M303040,"rejilla izq, de parag",Sustituir,0.10,Otro
3616/2020,M303040,spoiler delant,Sustituir,0.50,Otro
3616/2020,M303040,caminero izq,Sustituir,0.00,Otro
3616/2020,M303040,guia de paragolpes del izq,Sustituir,0.20,Otro
3616/2020,M303040,bucheglass del izq,Sustituir,0.30,Otro
3616/2020,M303040,broches x10,Sustituir,0.00,Otro
3616/2020,M303040,continuacion buche glass izq,Sustituir,0.20,Otro
3616/2020,M303040,faroles delantero der,SYC,0.50,Farol Delantero Derecho
3617/2020,M303119,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
3617/2020,M303119,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
3617/2020,M303119,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3617/2020,M303119,guia de paragolpes del x2,Sustituir,0.20,Otro
3617/2020,M303119,bisagras capot x2,Sustituir,0.25,Otro
3617/2020,M303119,rejilla centde parag,Sustituir,0.10,Otro
3617/2020,M303119,"rejilla izq, de parag",Sustituir,0.10,Otro
3617/2020,M303119,careta,Sustituir,0.50,Otro
3617/2020,M303119,seY=alero laterales izq,Sustituir,0.25,Otro
3617/2020,M303119,bandeja inf paragolpe del,Sustituir,0.15,Otro
3617/2020,M303119,broches bucheglass del izq,Sustituir,0.00,Otro
3617/2020,M303119,bucheglass del izq,Sustituir,0.30,Otro
3617/2020,M303119,amortiguador del izq,Sustituir,1.00,Otro
3617/2020,M303119,parrilla de susp del izq,Sustituir,1.00,Otro
3617/2020,M303119,rotulas del izq vienen con parrilla,SYC,0.20,Otro
3617/2020,M303119,semieje delantero izq cotrol y alinear,Reparar,3.50,Otro
3617/2020,M303119,cubierta toyo 85t 16580 r14 x1,Sustituir,0.10,Otro
3617/2020,M303119,balancear x1,Sustituir,0.00,Otro
3617/2020,M303119,alineacion tren del,Sustituir,0.00,Otro
3617/2020,M303119,frente inf soporte radiado,Sustituir,2.00,Otro
3617/2020,M303119,radiador de agua,SYC,0.80,Otro
3617/2020,M303119,condensador de aa,SYC,1.00,Otro
3617/2020,M303119,carga de gas,Sustituir,0.00,Otro
3617/2020,M303119,refrigerante,Sustituir,0.00,Otro
3617/2020,M303119,capot,Reparar,2.00,Capot
3617/2020,M303119,guardabarro delantero der,Reparar,2.00,Guardabarro Delantero Derecho
3617/2020,M303119,pasarrueda delantero izq,Reparar,2.50,Otro
3617/2020,M303119,pasarrueda delantero der,Reparar,1.50,Otro
3617/2020,M303119,medio chasis del izq,Reparar,2.50,Otro
3617/2020,M303119,medio chasis del der,Reparar,1.50,Otro
3617/2020,M303119,frente superior atornillado,Reparar,2.00,Otro
3617/2020,M303119,zocalo izq,Reparar,2.00,Zocalo Izquierdo
3617/2020,M303119,montante delan izq,Reparar,1.50,Otro
3617/2020,M303119,bisagra puerta (del o tras) x1,Reparar,1.00,Otro
3617/2020,M303119,puerta delantera des parcial izq,Reparar,1.50,Puerta Delantera Izquierda
3617/2020,M303119,fletes,Sustituir,0.00,Otro
3617/2020,M303119,"rejilla izq, de parag",Sustituir,0.10,Otro
3617/2020,M303119,moldura izq de caminero l,Sustituir,0.00,Otro
3617/2020,M303119,tasa izq,Sustituir,0.00,Otro
3650/2020,M306864,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
3650/2020,M306864,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
3650/2020,M306864,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
3650/2020,M306864,bagueta gris bajo parag,Sustituir,0.00,Otro
3650/2020,M306864,rejilla centde parag,Sustituir,0.00,Otro
3650/2020,M306864,rejilla der de parag,Sustituir,0.00,Otro
3650/2020,M306864,"rejilla izq, de parag",Sustituir,0.00,Otro
3650/2020,M306864,careta negra,Sustituir,0.00,Otro
3650/2020,M306864,carcaza filtro aire,Sustituir,0.25,Otro
3650/2020,M306864,bisagras capot x2,Sustituir,0.25,Otro
3650/2020,M306864,cierre de espolon inf,Sustituir,0.25,Otro
3650/2020,M306864,cierre de espolon sup,Sustituir,0.25,Otro
3650/2020,M306864,refrigerante,Sustituir,0.00,Otro
3650/2020,M306864,condensador de aa,Sustituir,1.00,Otro
3650/2020,M306864,parabrisas,Sustituir,2.00,Otro
3650/2020,M306864,carga de gas,Sustituir,0.00,Otro
3650/2020,M306864,airbag izq,Sustituir,1.00,Otro
3650/2020,M306864,airbag der,Sustituir,1.00,Otro
3650/2020,M306864,disparador airbag,Sustituir,0.40,Otro
3650/2020,M306864,cinto seguridad izq,Sustituir,0.50,Otro
3650/2020,M306864,cinto seguridad der,Sustituir,0.50,Otro
3650/2020,M306864,frente soldado completo cbajadas,Sustituir,6.00,Otro
3650/2020,M306864,radiador de agua,Sustituir,0.80,Otro
3650/2020,M306864,pata de motor superior der,Sustituir,0.25,Otro
3650/2020,M306864,guardabarro delantero izq,Reparar,2.00,Guardabarro Delantero Izquierdo
3650/2020,M306864,guardabarro delantero der,Reparar,2.00,Guardabarro Delantero Derecho
3650/2020,M306864,larguero de chasis delantero izq,Reparar,7.00,Otro
3650/2020,M306864,larguero de chasis delantero der,Reparar,7.00,Otro
3650/2020,M306864,pasarrueda delantero izq,Reparar,4.00,Otro
3650/2020,M306864,pasarrueda delantero der,Reparar,2.00,Otro
3650/2020,M306864,sacarcolocar motor,SYC,8.00,Otro
3650/2020,M306864,fender del (izqder) izq,SYC,0.30,Otro
3650/2020,M306864,fender del (izqder) der,SYC,0.30,Otro
3650/2020,M306864,travesaY=o entrechasis,Sustituir,3.00,Otro
3650/2020,M306864,capot,Reparar,4.00,Capot
3650/2020,M306864,escaneo sistema,Sustituir,0.00,Otro
3650/2020,M306864,tablero completo,Sustituir,6.00,Otro
3671/2020,M307958,calcos joy de tapa,Sustituir,0.00,Otro
3671/2020,M307958,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
3671/2020,M307958,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
